feature,log2FC,pval,qval
EC2-7-7-9,1.382308426,9.50E-05,0.001692647
EC1-1-1-60,1.831860857,9.73E-05,0.001719553
EC2-5-1-15,0.836205193,9.98E-05,0.001747161
EC5-3-1-23,1.088177435,0.000102192,0.001772844
EC3-2-2-1,3.225385642,0.000108438,0.001864552
EC1-21-4-2,1.73499859,0.000111358,0.001897966
EC1-11-1-15,1.011324437,0.0001144,0.001916203
EC2-1-1-79,2.672966624,0.000114227,0.001916203
EC2-1-1-207,0.764853405,0.00012094,0.002008436
EC4-2-1-113,2.691227817,0.000123096,0.002026911
EC2-10-1-1,2.247225844,0.000126496,0.002049022
EC3-1-2-6,3.60926274,0.000126773,0.002049022
EC6-3-5-6,-3.129437107,0.000127603,0.002049022
EC1-21-4-4,1.584307419,0.000129282,0.002050598
EC2-4-1-20,-2.883676028,0.000129811,0.002050598
EC2-7-1-29,2.640573785,0.000132232,0.002055416
EC4-2-99-20,3.675409276,0.000132166,0.002055416
EC1-3-1-74,-3.138465022,0.000135634,0.002091559
EC1-7-1-7,3.088808662,0.0001377,0.002106698
EC2-7-1-5,0.856484771,0.000139417,0.002116308
EC1-13-11-15,3.122253549,0.000150147,0.002250577
EC2-3-1-51,0.57732914,0.000150855,0.002250577
EC5-3-3-2,1.366376176,0.000151737,0.002250577
EC1-18-1-3,3.645528642,0.00015875,0.002336759
EC2-8-3-9,2.637937027,0.000167841,0.002451998
EC3-1-4-37,-2.166087167,0.000173714,0.002503043
EC3-2-1-156,-2.708634524,0.000173912,0.002503043
EC1-7-1-6,2.760846612,0.000179528,0.002549253
EC2-3-1-169,1.292360479,0.000181059,0.002549253
EC2-3-1-222,0.794289122,0.00018005,0.002549253
EC3-1-3-13,-1.492306736,0.000189082,0.00264307
EC4-2-1-44,1.583285346,0.0001912,0.002653578
EC3-6-3-36,3.156092254,0.000200068,0.002756969
EC4-2-1-17,1.850990314,0.000206144,0.002820685
EC4-1-3-34,2.942192888,0.000210216,0.002856286
EC3-2-1-86,1.674781755,0.000216934,0.002869262
EC4-1-1-96,2.944509584,0.000213965,0.002869262
EC4-3-1-7,2.821410581,0.000217077,0.002869262
EC4-99-1-12,0.837768291,0.000216126,0.002869262
EC1-1-1-95,0.96883341,0.000229546,0.003013569
EC1-3-1-31,2.810107934,0.000246153,0.003167383
EC2-8-1-4,0.666491583,0.000245026,0.003167383
EC4-4-1-8,0.89928033,0.000244852,0.003167383
EC2-7-6-1,0.545178203,0.000253494,0.003237776
EC4-2-1-2,0.667231297,0.000254956,0.003237776
EC3-1-1-23,3.261156643,0.00025783,0.003253012
EC4-1-2-13,0.640371687,0.000280248,0.003513039
EC2-8-4-4,-0.484863641,0.0002898,0.003578225
EC4-1-3-6,1.499483494,0.000290205,0.003578225
EC5-1-3-4,0.934405496,0.000290972,0.003578225
EC6-3-1-20,1.422832171,0.000298034,0.003642009
EC2-7-1-60,2.028880958,0.000303352,0.003683826
EC1-1-1-88,3.235019691,0.000313643,0.003757994
EC2-7-1-89,3.834111077,0.000315261,0.003757994
EC3-1-21-3,-0.762106994,0.00031348,0.003757994
EC1-1-1-392,2.894352655,0.000322159,0.003816802
EC1-1-1-47,2.600347305,0.000329841,0.003823792
EC1-18-1-2,1.710247404,0.000332589,0.003823792
EC1-97-1-4,0.326408627,0.00032717,0.003823792
EC2-3-2-2,3.196293721,0.000328607,0.003823792
EC3-5-2-9,1.066190264,0.000331382,0.003823792
EC5-4-2-7,0.6138709,0.00034993,0.003999497
EC5-1-2-2,3.367832327,0.000375796,0.004270013
EC2-7-7-21,-2.6201556,0.000392246,0.00433031
EC2-7-7-25,-2.6201556,0.000392246,0.00433031
EC3-2-1-89,-1.370974931,0.000390172,0.00433031
EC4-3-1-1,1.330306652,0.000387247,0.00433031
EC2-2-1-6,0.628562598,0.000402527,0.004418701
EC1-1-1-290,0.61302429,0.00040658,0.00443748
EC3-5-4-30,2.451807997,0.000408805,0.00443748
EC2-4-1-129,1.005240471,0.00041554,0.004485528
EC1-8-1-7,3.261501423,0.00042025,0.004511304
EC1-6-5-2,3.177596894,0.000427524,0.004564175
EC1-3-1-12,1.197643558,0.000444831,0.004722986
EC1-8-99-2,-3.193665737,0.00045047,0.004756869
EC5-3-1-6,0.544402842,0.000465332,0.00488724
EC2-1-1-107,0.775686767,0.000471872,0.004929289
