feature,log2FC,pval,qval
EC2-4-2-45,-1.63491983,0.016895086,0.06639931
EC2-7-2-2,2.568159311,0.016857992,0.06639931
EC2-7-4-2,2.021542271,0.016915933,0.06639931
EC4-1-1-85,3.107581377,0.016838077,0.06639931
EC3-2-2-23,0.995252641,0.017106802,0.066908313
EC3-6-3-33,2.575232406,0.017114478,0.066908313
EC2-6-1-92,-1.847224585,0.017313589,0.067550811
EC2-6-1-42,0.378760153,0.017483382,0.067804814
EC2-7-1-85,1.075847913,0.017422239,0.067804814
EC2-8-3-5,2.081939316,0.017459661,0.067804814
EC3-1-1-84,-1.834740064,0.017774382,0.068744439
EC3-5-1-25,0.582375128,0.017796424,0.068744439
EC1-2-99-2,0.879814399,0.017832625,0.068747598
EC1-17-1-8,0.32113266,0.018071675,0.069531218
EC1-1-1-90,1.822467532,0.018110585,0.069543217
EC2-7-4-14,1.64558547,0.018239399,0.069899709
EC1-1-1-271,-0.83383508,0.018332861,0.070059256
EC4-1-2-49,0.651902888,0.018353145,0.070059256
EC1-2-98-1,1.654434319,0.018589033,0.070406416
EC3-1-1-11,-0.920518357,0.018581268,0.070406416
EC3-1-3-1,0.969113354,0.018552692,0.070406416
EC4-1-99-12,-0.302506165,0.018552902,0.070406416
EC6-3-4-18,1.378449652,0.018637716,0.070453468
EC1-3-7-9,0.594350595,0.018795424,0.070911669
EC1-1-1-21,1.548868621,0.018879358,0.071090297
EC2-3-1-82,1.635178318,0.019205928,0.072054618
EC2-7-7-81,-1.833608407,0.01920962,0.072054618
EC1-1-99-3,2.042404101,0.019247143,0.072056259
EC3-1-3-10,2.372471289,0.01937427,0.072392706
EC2-5-1-31,1.524373838,0.019647467,0.072992405
EC2-7-8-20,2.263252477,0.019635095,0.072992405
EC3-2-1-67,0.727879383,0.019639582,0.072992405
EC3-6-5-n1,-0.297837057,0.019943382,0.073950367
EC2-7-7-56,0.796576361,0.020019537,0.074091352
EC3-6-1-57,-1.66761409,0.020198292,0.074610799
EC4-4-1-15,2.349372778,0.020237636,0.074614284
EC2-4-1-325,2.014774291,0.020350484,0.07488824
EC1-5-1-36,2.736452468,0.020618608,0.075731484
EC1-7-2-3,2.890832716,0.020789517,0.076215155
EC1-1-1-283,1.47962123,0.020888085,0.076432296
EC4-2-1-163,1.642819112,0.020938437,0.076472526
EC2-3-1-41,2.056958482,0.021244317,0.077444106
EC2-3-1-50,-1.523531788,0.021429617,0.077973305
EC3-4-11-19,1.762727411,0.021877027,0.079452456
EC1-1-1-93,1.817640239,0.022012536,0.079646848
EC6-3-2-37,0.850217805,0.021991604,0.079646848
EC4-1-2-n5,0.69453535,0.022073827,0.079720161
EC5-3-3-18,0.880047139,0.022549246,0.081286057
EC4-2-1-54,-0.926854046,0.022821567,0.08211538
EC2-3-1-40,2.829417671,0.022900895,0.082144691
EC5-4-4-2,1.388571748,0.022914268,0.082144691
EC1-1-99-38,0.785058069,0.023016408,0.082245619
EC2-5-1-75,-0.215586668,0.02302708,0.082245619
EC1-5-5-1,2.363048904,0.023091731,0.082325199
EC2-4-1-64,1.068649821,0.023379874,0.083047707
EC6-3-1-1,0.211294094,0.023349684,0.083047707
EC3-5-99-10,2.812017131,0.023580567,0.08360774
EC4-2-1-118,0.997831631,0.023643392,0.083677796
EC4-1-1-22,0.843545698,0.023756316,0.083924586
EC3-2-1-70,1.75837397,0.023829543,0.084030494
EC2-7-4-6,0.855678444,0.023904002,0.084140354
EC1-2-99-5,-1.444576445,0.024151115,0.084720146
EC4-2-1-46,-0.243009765,0.024155924,0.084720146
EC3-1-21-2,0.486363189,0.024288853,0.085032868
EC3-6-1-40,1.549341771,0.024386826,0.085222309
EC1-14-13-149,2.000909693,0.024488965,0.085425601
EC1-8-4-11,0.435034061,0.024899811,0.086576382
EC2-6-1-62,0.718668268,0.024907976,0.086576382
EC2-8-3-16,1.760824963,0.025202149,0.087286589
EC4-1-1-77,1.379759289,0.025166218,0.087286589
EC1-14-14-9,2.075594397,0.025328565,0.087412792
EC2-3-1-5,1.096269318,0.02531996,0.087412792
EC2-7-7-24,-0.293954309,0.025481805,0.087475526
EC4-1-1-76,1.121781074,0.025456083,0.087475526
EC5-4-2-8,-0.569352968,0.025435193,0.087475526
EC1-14-12-10,1.463205231,0.025667181,0.087956494
EC2-5-1-1,1.531228241,0.025868866,0.08849156
EC1-4-3-21,2.333446909,0.026096798,0.089114373
EC2-8-4-3,-0.311151267,0.026948941,0.091701912
EC3-1-4-17,2.181652113,0.02693603,0.091701912
EC1-17-99-7,1.912598902,0.027002735,0.091724325
EC4-1-1-65,0.649343836,0.027183464,0.092177086
EC2-4-1-280,-1.895676761,0.027252284,0.092249458
EC2-4-2-29,-0.235785053,0.027512387,0.092825463
EC3-1-2-12,1.769579661,0.027557968,0.092825463
EC3-2-1-17,0.731166174,0.027613545,0.092825463
EC3-5-1-49,1.987707432,0.027571707,0.092825463
EC2-6-1-81,2.537153254,0.027684397,0.092902909
EC4-1-3-30,2.117425125,0.027805047,0.093146908
EC1-1-1-132,1.444261833,0.027857104,0.093160677
EC5-4-99-23,-0.933225198,0.027999261,0.093475196
EC3-2-1-52,0.548064993,0.028399756,0.094487543
EC3-5-1-32,1.386181547,0.028369897,0.094487543
EC2-7-9-2,1.209888168,0.028694259,0.095304181
EC3-1-1-1,2.427182383,0.028823521,0.095570139
EC1-1-1-11,1.888810443,0.029080052,0.095929613
EC2-1-1-72,-0.32491262,0.029053233,0.095929613
EC5-99-1-3,-0.202357638,0.028982432,0.095929613
EC2-2-1-10,-1.201999406,0.029776903,0.098061902
EC4-1-99-11,1.04698697,0.029917015,0.098356615
EC1-6-1-1,2.340243199,0.030096466,0.098722402
EC2-7-1-25,0.876042743,0.030129894,0.098722402
EC2-7-2-3,-0.217493213,0.030218245,0.098735355
EC4-3-2-7,1.648278569,0.030235479,0.098735355
EC1-8-98-1,-0.929982607,0.030531245,0.099378056
EC4-1-3-40,2.325023394,0.030534585,0.099378056
EC1-1-2-3,1.676112718,0.030648177,0.099580949
EC3-5-1-n3,2.220201243,0.030724249,0.099661464
EC5-3-3-10,2.035111041,0.030807296,0.099764295
EC1-1-1-301,1.047904683,0.030916936,0.099952757
EC1-1-1-391,0.604543858,0.030989001,0.100019316
EC3-2-1-98,1.437088704,0.031068793,0.100110556
EC3-4-11-7,1.325972941,0.03125284,0.100370691
EC4-6-1-13,-1.575984534,0.03120497,0.100370691
EC2-7-7-13,1.089627813,0.031459904,0.100868965
EC2-5-1-52,-0.607291053,0.031529895,0.100926829
EC5-4-3-8,0.563538844,0.031686686,0.101261894
EC1-1-1-57,-1.426643689,0.032047724,0.1022475
EC2-7-8-6,1.067785446,0.032112393,0.102285869
EC2-7-3-3,-0.408126366,0.032298673,0.102710838
EC3-6-1-9,2.389105304,0.03257508,0.103329668
EC5-4-99-4,-0.528181888,0.032599633,0.103329668
EC6-2-1-27,1.762306144,0.032686025,0.103434767
EC3-2-1-93,1.129487155,0.033147376,0.104326502
EC3-2-2-28,2.493016236,0.033236287,0.104326502
EC4-1-1-32,-1.560913667,0.033022039,0.104326502
EC5-1-3-14,0.509189528,0.033141005,0.104326502
EC6-2-1-20,1.589851544,0.033227095,0.104326502
EC1-13-11-16,2.338491166,0.03376438,0.105813209
EC4-1-1-86,1.51506445,0.034019526,0.106441126
EC1-1-1-159,1.793813005,0.034553945,0.106666925
EC1-1-1-49,1.153903933,0.034624402,0.106666925
EC1-2-1-27,1.864027413,0.034280281,0.106666925
EC1-2-1-39,2.437138613,0.034391372,0.106666925
EC1-3-5-4,2.111938744,0.034649736,0.106666925
EC2-4-1-15,2.139539637,0.034259556,0.106666925
EC2-7-1-53,1.997686683,0.034176684,0.106666925
EC2-8-3-17,0.677897417,0.034348244,0.106666925
EC3-1-11-2,0.456730271,0.034695572,0.106666925
EC4-2-1-80,2.430854457,0.034538086,0.106666925
EC4-2-2-6,1.190543794,0.034667442,0.106666925
EC1-14-13-107,2.35594002,0.034802088,0.106825368
EC1-14-12-13,1.771319247,0.035452969,0.10818876
EC1-2-1-76,1.451883666,0.035343195,0.10818876
EC1-3-98-3,0.892199131,0.035468986,0.10818876
EC5-3-1-35,1.295649156,0.035446759,0.10818876
EC2-3-1-109,2.493930479,0.035770787,0.108938305
EC2-1-1-186,2.571524746,0.035893244,0.108969647
EC4-1-99-3,2.030357784,0.035862881,0.108969647
EC3-7-1-22,1.048421611,0.035954274,0.108984641
EC6-3-4-4,-0.226656295,0.036030797,0.109046477
EC3-8-1-7,1.388024492,0.036277915,0.109623623
EC2-3-1-242,1.855761353,0.036378188,0.10975593
EC2-4-2-48,-0.618346814,0.036552669,0.110111374
EC4-1-1-7,1.388049265,0.036641497,0.110208095
EC1-13-11-3,1.792899683,0.036768625,0.110419534
EC2-7-1-55,1.906176489,0.037334351,0.111578738
EC3-11-1-1,1.227515623,0.037499185,0.111578738
EC3-6-1-15,2.056426686,0.037232576,0.111578738
EC4-1-3-16,0.521793917,0.037428986,0.111578738
EC4-2-2-10,-0.652663735,0.037381282,0.111578738
EC5-1-3-7,1.404216592,0.03744445,0.111578738
EC2-1-3-1,0.830485471,0.037618702,0.111763208
EC2-8-1-6,0.346487563,0.038326286,0.113691563
EC2-3-1-39,0.235375331,0.038415346,0.11378204
EC2-3-1-n4,1.491292066,0.038595288,0.113967545
EC2-7-7-1,2.069816717,0.038593701,0.113967545
EC3-5-3-11,0.654481,0.038805055,0.114256479
EC7-1-1-3,2.769191014,0.038810744,0.114256479
EC1-14-14-5,2.428088372,0.038987834,0.114425017
EC3-5-1-115,0.495713565,0.039044666,0.114425017
EC5-3-1-26,1.463319454,0.039000527,0.114425017
EC3-1-31-1,2.128647656,0.039225604,0.114782153
EC1-1-1-50,-1.260154375,0.03952374,0.115472973
EC1-12-5-1,1.046719423,0.039633968,0.115472973
EC1-14-12-7,0.8030437,0.039699406,0.115472973
EC3-5-3-23,2.41228097,0.039684656,0.115472973
EC2-7-11-5,2.30331557,0.039830507,0.115681128
EC3-1-1-17,1.5769488,0.040267412,0.116775495
EC1-8-1-8,2.046937866,0.040506922,0.116887425
EC3-1-3-48,0.51500962,0.040373055,0.116887425
EC4-1-1-21,1.767283151,0.040546642,0.116887425
EC5-1-3-41,1.460893064,0.040449079,0.116887425
EC2-4-1-211,-0.6815354,0.04069876,0.116978834
EC3-6-1-7,0.369827955,0.040676434,0.116978834
EC1-3-8-2,1.00055289,0.041101023,0.117932145
EC5-3-4-1,1.798616707,0.041151824,0.117932145
EC1-1-5-12,2.045306411,0.041259002,0.118065156
EC5-3-1-9,0.182205508,0.041511161,0.118612038
EC2-3-2-13,0.569585385,0.041778278,0.119199992
EC1-2-1-77,2.050954656,0.04206548,0.119493022
EC1-3-1-95,0.565422844,0.042042521,0.119493022
EC2-3-1-189,1.388091023,0.041998653,0.119493022
EC1-1-5-4,2.302517415,0.042220187,0.119757406
EC2-3-1-n2,-0.288413313,0.042383769,0.120046157
EC2-7-1-196,2.197994627,0.042502404,0.120206944
EC2-3-1-122,0.434100208,0.042676096,0.12034783
EC4-2-2-17,1.583463467,0.042657923,0.12034783
EC5-1-3-11,-0.955482111,0.043381013,0.122158419
EC1-2-4-4,1.455916073,0.043859862,0.123328094
EC2-6-1-88,2.371897468,0.044381158,0.124613569
EC2-5-1-6,0.25958244,0.044557641,0.124928565
EC6-3-1-12,0.667826148,0.044940111,0.12581936
EC1-10-9-1,1.453020774,0.045470537,0.127121227
EC3-5-1-100,0.953772787,0.045613922,0.127338865
EC2-5-1-29,1.270266302,0.045910609,0.127906908
EC2-7-1-199,1.507083578,0.04598874,0.127906908
EC2-8-3-25,0.695411328,0.046014889,0.127906908
EC2-8-4-1,-0.870410431,0.046249538,0.128375505
EC2-7-8-24,0.579988767,0.046545179,0.129011817
EC2-5-1-41,-0.535110242,0.046651328,0.129121838
EC5-1-99-6,0.272240996,0.046815557,0.129392072
EC1-14-13-2,1.293416913,0.047165511,0.129515569
EC2-4-2-15,2.29600884,0.047218077,0.129515569
EC3-1-1-45,2.225732636,0.04707282,0.129515569
EC3-4-11-5,1.000843984,0.047057454,0.129515569
EC3-7-1-2,0.673750213,0.047082045,0.129515569
EC5-4-3-3,1.078023714,0.047260184,0.129515569
EC4-2-1-99,2.182150715,0.047516561,0.130034757
EC1-3-1-n3,1.605448175,0.047608908,0.130099427
EC4-1-1-49,-0.277615836,0.047674108,0.130099427
EC2-6-1-107,1.111551798,0.047847896,0.130318819
EC5-3-1-15,1.08618296,0.047888645,0.130318819
EC1-14-13-7,-0.429311294,0.048053601,0.130584821
EC2-3-2-16,-0.57265372,0.048267822,0.130983768
EC1-2-1-12,1.056582155,0.04896867,0.131727282
EC3-2-2-8,1.953542994,0.048952377,0.131727282
EC3-5-1-2,0.214071495,0.048976089,0.131727282
EC3-5-4-25,-0.301606787,0.049016379,0.131727282
EC4-1-1-36,0.277454501,0.048717558,0.131727282
EC4-1-2-52,1.658852498,0.048952422,0.131727282
EC6-1-1-18,-0.204029057,0.048917241,0.131727282
EC1-5-1-42,1.938822312,0.049188047,0.132006044
EC3-2-1-196,1.992955705,0.049278939,0.132067557
EC3-2-1-6,-0.688507267,0.049361856,0.132107558
EC1-2-1-19,2.282041152,0.049938293,0.132905317
EC2-4-1-248,-1.305477374,0.049956876,0.132905317
EC2-7-1-165,1.488681989,0.050070351,0.132905317
EC3-6-4-13,0.6943308,0.049728792,0.132905317
EC5-4-99-20,2.271820132,0.04991485,0.132905317
EC6-3-2-5,0.268112936,0.0500441,0.132905317
EC2-7-4-29,1.969439946,0.050626621,0.134198533
EC1-3-99-24,0.607769943,0.050738249,0.134311196
EC2-3-1-241,1.901538374,0.050964278,0.134725977
EC2-6-1-22,1.839687023,0.051425202,0.13575974
EC4-1-1-68,1.665515217,0.05163627,0.136131984
EC2-3-1-267,2.511655625,0.051712098,0.136147163
EC4-2-1-22,1.579346312,0.051948735,0.136585105
EC2-1-1-228,-0.232246569,0.052168865,0.136793663
EC2-4-2-21,0.334817723,0.052143412,0.136793663
EC1-2-1-3,2.487097157,0.052360853,0.136928138
EC1-4-1-4,1.867438491,0.052374194,0.136928138
EC2-7-1-83,1.161876873,0.052431567,0.136928138
EC2-7-10-1,-1.348973978,0.052532422,0.137007376
EC2-1-1-222,1.949093367,0.052920544,0.137100702
EC2-7-1-19,2.263681193,0.052666962,0.137100702
EC2-7-8-23,1.113701888,0.05271368,0.137100702
EC5-3-1-32,1.79769096,0.052921012,0.137100702
EC5-3-3-8,2.023136899,0.052783951,0.137100702
EC1-11-1-9,1.464295963,0.053134831,0.137471341
EC2-6-1-19,2.329789971,0.053442497,0.138083474
EC1-4-7-1,0.644389694,0.053831718,0.138904421
EC1-1-1-52,0.235549152,0.05401241,0.139185826
EC1-14-13-239,2.126311038,0.054582671,0.139757846
EC1-16-1-9,2.216006031,0.054312597,0.139757846
EC2-1-1-133,0.536582653,0.054483533,0.139757846
EC2-1-1-195,0.34233451,0.054450434,0.139757846
EC3-1-3-41,-1.104711276,0.054665961,0.139757846
EC3-5-1-96,2.220461696,0.05462827,0.139757846
EC3-1-3-16,0.445138359,0.054996587,0.140418354
EC1-5-1-38,1.562979362,0.055487093,0.141484805
EC3-1-27-6,2.150955171,0.055784611,0.14205701
EC1-13-11-1,1.213634588,0.056523233,0.143749531
EC1-2-1-79,2.027699292,0.056835734,0.143978918
EC1-3-8-7,2.366791666,0.056802478,0.143978918
EC1-3-8-8,2.366791666,0.056802478,0.143978918
EC2-4-2-44,-0.665272954,0.056925509,0.144018573
EC2-1-1-86,-1.281320367,0.057761287,0.145560445
EC3-1-21-1,2.189153552,0.05768157,0.145560445
EC3-1-26-4,-0.21652244,0.057834618,0.145560445
EC6-1-1-4,-0.178630535,0.057726529,0.145560445
EC1-2-1-16,2.30745055,0.05791547,0.145575367
EC1-14-12-1,1.283785844,0.058301766,0.145791931
EC2-3-1-210,1.787620187,0.058219103,0.145791931
EC3-6-1-17,0.954104401,0.058277517,0.145791931
EC4-2-1-85,0.627563496,0.058134423,0.145791931
EC2-5-1-18,2.318371913,0.058659182,0.14649716
EC3-6-1-26,1.827325812,0.058739302,0.14650894
EC2-7-7-39,0.704325637,0.058823889,0.146531817
EC1-17-1-4,1.090625978,0.05904075,0.146689504
EC2-3-1-61,2.24049464,0.059189177,0.146689504
EC2-7-1-41,1.395479552,0.059164595,0.146689504
EC4-1-2-25,0.368049253,0.059164319,0.146689504
EC1-3-1-84,1.605742356,0.059679651,0.147341247
EC2-3-1-n3,-0.312229943,0.059654188,0.147341247
EC3-4-11-4,0.227375337,0.059647981,0.147341247
EC5-3-1-22,1.409848472,0.059772235,0.147382554
EC3-2-2-16,0.62978567,0.059866964,0.147429037
EC2-7-1-12,1.72472911,0.0600457,0.147495315
EC5-3-2-3,0.751925707,0.060014917,0.147495315
EC3-5-1-110,1.801690189,0.060153949,0.147574651
EC5-3-3-4,0.768798133,0.060260815,0.147650397
EC2-7-1-194,1.373125496,0.060498855,0.148046946
EC4-1-1-61,1.752673815,0.06110325,0.149337881
EC1-20-4-1,0.85043624,0.061248738,0.1495054
EC2-7-1-200,1.441474821,0.061414753,0.149722541
EC3-1-4-52,0.586743447,0.06184397,0.150203543
EC4-1-1-81,0.658171795,0.061812032,0.150203543
EC5-4-99-29,2.129683039,0.061805294,0.150203543
EC1-6-99-5,1.050393179,0.061964141,0.150307524
EC2-5-1-141,2.256389494,0.062631935,0.151737968
EC2-3-1-245,1.576224997,0.062954355,0.152077494
EC4-2-2-2,-1.276024164,0.063006887,0.152077494
EC5-1-3-15,1.669347954,0.062852816,0.152077494
EC1-1-1-69,-0.667344224,0.063294133,0.152581266
EC5-1-3-20,1.274388487,0.063610808,0.1529651
EC5-3-2-6,0.373088491,0.063609382,0.1529651
EC1-1-1-282,2.142415311,0.063800459,0.153030738
EC1-1-1-305,1.803436269,0.064026866,0.153030738
EC2-1-2-13,1.803436269,0.064026866,0.153030738
EC3-1-3-97,1.391356537,0.064010366,0.153030738
EC5-4-99-28,1.249030676,0.064031904,0.153030738
EC2-7-8-42,1.757641742,0.064194357,0.153230511
EC1-2-1-8,2.073556839,0.064383383,0.153360455
EC3-5-4-11,1.056887205,0.064406655,0.153360455
EC1-2-1-28,1.154639047,0.064686748,0.153650796
EC3-1-3-89,2.022190089,0.064671522,0.153650796
EC2-3-1-53,1.041448854,0.064924699,0.153839865
EC2-7-7-47,1.345558191,0.064882735,0.153839865
EC3-6-3-32,1.256540299,0.06508563,0.154033348
EC2-3-3-9,2.162685785,0.06520376,0.154125188
EC1-2-1-72,2.104474099,0.065586454,0.15484141
EC2-1-1-172,2.034925056,0.065674482,0.154861067
EC2-7-1-195,1.371206629,0.065981793,0.155397121
EC2-7-7-66,1.271576587,0.066399679,0.156191982
EC5-4-2-2,0.409651915,0.066559328,0.156378203
EC1-1-1-218,1.812966544,0.06669548,0.156500399
EC2-7-7-85,-0.293379144,0.066772429,0.156500399
EC3-4-11-18,-0.172867422,0.06724933,0.157428251
EC1-2-1-71,2.221985739,0.067368786,0.157518113
EC2-3-1-190,1.063930051,0.067733666,0.157801574
EC2-3-1-193,1.841898988,0.067720542,0.157801574
EC2-5-1-147,-0.601354174,0.067581829,0.157801574
EC1-1-1-67,2.032847656,0.0690618,0.160319089
EC3-1-21-7,2.07013919,0.069012972,0.160319089
EC4-1-3-1,2.080407895,0.068966367,0.160319089
EC2-3-1-157,0.508022715,0.069638108,0.161464015
EC1-1-5-2,2.448643409,0.069898909,0.161875543
EC2-1-1-178,0.493201292,0.070030478,0.161987165
EC2-7-7-61,1.500293088,0.070232784,0.162261949
EC1-1-1-298,2.215586269,0.070379908,0.162408743
EC2-7-7-75,0.629180195,0.07072641,0.163014726
EC1-1-1-205,0.187399971,0.070911247,0.163053909
EC2-1-3-9,-1.325057406,0.070841869,0.163053909
EC2-1-1-223,0.425315432,0.071109707,0.163316975
EC3-5-4-27,-0.50013155,0.071419757,0.163835406
EC1-5-1-41,1.920530288,0.071519592,0.163870951
EC3-4-19-11,-0.706385717,0.071859469,0.16445577
EC1-13-12-19,1.12073121,0.072148603,0.164782882
EC2-4-1-180,2.078740664,0.072172019,0.164782882
EC6-3-5-8,-1.459659692,0.072287707,0.164853305
EC1-4-99-6,1.87812387,0.072726176,0.165568455
EC2-7-1-16,0.979999515,0.072771724,0.165568455
EC2-7-7-65,0.878398235,0.072931378,0.165737624
EC1-14-99-46,1.328106584,0.07347201,0.165802688
EC2-7-7-48,1.405487105,0.073427586,0.165802688
EC3-4-22-8,-1.328407084,0.073092795,0.165802688
EC3-5-5-1,0.33205602,0.073258288,0.165802688
EC4-2-1-126,0.472133072,0.073322283,0.165802688
EC4-2-2-5,-1.455503434,0.073312214,0.165802688
EC3-1-3-26,2.0024866,0.073591508,0.165879699
EC3-7-1-13,0.563558921,0.073900162,0.166382403
EC1-1-1-414,1.609931974,0.074073725,0.166580148
EC1-1-1-306,0.502290369,0.074702201,0.167472242
EC1-11-1-21,2.357114017,0.074802759,0.167472242
EC1-13-11-74,0.453125339,0.074931879,0.167472242
EC2-1-2-2,0.204416589,0.074987571,0.167472242
EC3-1-4-4,1.194223213,0.074887223,0.167472242
EC3-5-1-124,1.756176847,0.074682893,0.167472242
EC4-2-1-9,0.198349435,0.075287235,0.167948448
EC2-7-1-208,1.396292332,0.075610834,0.168230123
EC2-7-7-23,0.506317931,0.075673251,0.168230123
EC3-6-1-12,1.836720299,0.075550541,0.168230123
EC2-3-1-251,1.855374728,0.075940168,0.168630567
EC6-3-2-14,1.859749561,0.076235791,0.169093769
EC1-13-11-54,1.364842668,0.076396736,0.169257534
EC1-1-1-411,1.389426041,0.0767331,0.169809126
EC2-1-1-45,0.218841677,0.077378097,0.171041687
EC4-2-1-10,-0.207421167,0.077920511,0.172044947
EC1-1-1-41,1.066090992,0.078253418,0.172583873
EC1-2-1-70,0.466171975,0.07845092,0.172823286
EC2-1-1-200,2.025442756,0.079190433,0.174254827
EC1-11-1-10,1.218489697,0.080069876,0.175990689
EC1-2-1-5,1.977682585,0.080654508,0.176844502
EC1-3-1-28,2.285748176,0.080660007,0.176844502
EC3-2-1-165,0.656707621,0.080731381,0.176844502
EC2-7-1-197,2.019816634,0.081631197,0.178529014
EC2-8-3-11,-0.598571728,0.081684145,0.178529014
EC5-1-3-21,0.522709239,0.081835403,0.178658639
EC2-1-1-n11,0.979965193,0.082202014,0.17925759
EC2-7-1-71,0.209512907,0.082673552,0.180083758
EC3-5-1-24,0.492927886,0.082858771,0.180285097
EC1-1-98-6,1.305994134,0.082957282,0.180297537
EC2-1-1-191,-0.349500101,0.083166964,0.180551296
EC2-5-1-120,-0.875970343,0.083375483,0.180801968
EC4-4-1-23,0.925406763,0.083522316,0.180918462
EC1-14-14-3,1.388412274,0.083844889,0.181414944
EC1-14-99-3,0.788507399,0.083951784,0.181444178
EC2-1-1-166,1.967711933,0.084099276,0.181560992
EC1-2-1-24,0.807209374,0.084492491,0.182005443
EC2-7-2-1,-0.177415382,0.084424022,0.182005443
EC2-6-1-85,0.634823704,0.08470005,0.182250496
EC1-5-1-20,0.182264353,0.085153553,0.18302362
EC1-1-1-127,1.545956824,0.085477134,0.183516101
EC2-7-1-58,2.300696563,0.086107094,0.184647071
EC3-6-1-13,-0.677265894,0.086213492,0.184647071
EC6-1-1-16,-0.157512942,0.086289007,0.184647071
EC2-3-1-243,1.597624933,0.08686441,0.185314879
EC2-7-4-23,1.934422163,0.086846421,0.185314879
EC5-3-2-2,0.594226465,0.086887213,0.185314879
EC2-1-1-264,1.712144748,0.088106137,0.187708579
EC2-7-3-9,0.283633538,0.088385673,0.187892082
EC4-1-1-112,1.390310264,0.088336442,0.187892082
EC3-5-3-6,-0.759126335,0.08869978,0.188148113
EC6-3-4-22,-0.430788043,0.088691031,0.188148113
EC1-2-1-21,1.718662128,0.08914608,0.188888587
EC1-14-11-47,1.017463799,0.089736705,0.189408865
EC2-7-11-33,1.860893318,0.089879039,0.189408865
EC2-7-4-28,1.860893318,0.089879039,0.189408865
EC3-5-4-5,0.198658207,0.089842886,0.189408865
EC7-1-1-2,1.839538606,0.089520916,0.189408865
EC3-2-1-136,-1.375333284,0.090261114,0.190007957
EC1-1-1-42,-0.223746893,0.091541764,0.19084297
EC1-14-11-17,1.875301605,0.091468819,0.19084297
EC1-8-7-1,1.333060581,0.091009537,0.19084297
EC2-3-1-18,0.549194731,0.091464364,0.19084297
EC2-5-1-145,1.135832627,0.0907793,0.19084297
EC3-1-22-4,-0.173940907,0.091043759,0.19084297
EC4-4-1-13,1.639909044,0.09144249,0.19084297
EC6-1-1-1,-0.14672371,0.091248704,0.19084297
EC6-3-1-8,1.810705577,0.091072615,0.19084297
EC2-6-1-48,0.438007765,0.091893795,0.191166641
EC3-5-3-26,1.557647957,0.091822398,0.191166641
EC1-8-99-3,0.60426496,0.092018653,0.191186809
EC2-7-1-218,1.177444636,0.092198683,0.191186809
EC3-4-11-1,1.369861254,0.092150353,0.191186809
EC2-1-1-181,1.540523404,0.092533516,0.191237537
EC2-5-1-129,0.889336717,0.092715265,0.191237537
EC2-8-3-21,0.648247743,0.092467825,0.191237537
EC3-1-2-20,0.756002204,0.092678451,0.191237537
EC5-4-99-18,0.141337327,0.092627879,0.191237537
EC2-7-7-68,-0.53136708,0.093515231,0.192683027
EC3-2-1-94,-1.06677195,0.094810165,0.195144227
EC4-1-2-22,-1.154632741,0.095430763,0.195989743
EC4-1-2-9,0.944580306,0.095370573,0.195989743
EC7-5-2-1,1.192438177,0.095523565,0.195989743
EC3-5-1-16,1.152690918,0.095630523,0.196002221
EC1-13-11-8,1.320393364,0.095998299,0.196548678
EC3-1-1-32,2.030053375,0.096379587,0.197121618
EC1-5-1-7,-0.718578688,0.096698119,0.19715052
EC2-1-1-11,0.458092173,0.096698006,0.19715052
EC4-1-1-1,0.715533768,0.096663177,0.19715052
EC1-1-1-350,1.383208168,0.097053152,0.197666953
EC3-1-1-29,-0.179875757,0.097627153,0.198344738
EC3-2-1-10,0.551414828,0.097794266,0.198344738
EC4-1-3-44,-0.470491417,0.097535063,0.198344738
EC4-2-1-82,0.57709623,0.097741049,0.198344738
EC1-13-11-29,1.340514867,0.098304442,0.198566116
EC2-3-1-81,-1.309596459,0.098312199,0.198566116
EC2-7-1-74,0.453139137,0.098262009,0.198566116
EC5-1-99-1,1.171286809,0.09815948,0.198566116
EC1-1-1-369,1.07233359,0.098659675,0.199061005
EC3-1-3-77,1.12032432,0.099366903,0.200082125
EC3-5-1-126,0.703962775,0.099447919,0.200082125
EC3-5-1-3,1.083156956,0.099556236,0.200082125
EC4-1-3-36,0.67711632,0.099577671,0.200082125
EC2-1-1-201,1.441276869,0.099711088,0.200143227
EC5-3-3-6,2.007028685,0.099906628,0.20032877
EC5-5-1-2,0.893816238,0.100617178,0.201545543
EC1-1-1-310,0.454428515,0.100784116,0.201672026
EC6-1-1-20,-0.165284774,0.101323578,0.202542914
EC2-4-2-54,-0.583332839,0.10162938,0.20291125
EC2-8-3-19,1.522945051,0.101815061,0.20291125
EC6-3-2-7,0.96265715,0.101821137,0.20291125
EC1-1-1-291,1.464565995,0.102094825,0.203248202
EC3-2-1-199,1.217187702,0.102616622,0.204077888
EC1-5-98-2,-0.388665058,0.10279245,0.204218538
EC1-5-1-28,1.139851752,0.103192839,0.204804583
EC3-5-1-42,1.408871308,0.10351954,0.205243333
EC5-4-99-19,1.979102884,0.103651188,0.205294861
EC5-3-3-14,1.696344726,0.103909061,0.205596035
EC4-2-3-4,0.14716783,0.104169277,0.205605547
EC6-3-1-11,1.754822498,0.104088506,0.205605547
EC6-4-1-7,0.87443692,0.104231325,0.205605547
EC2-8-1-12,1.632481762,0.104438646,0.205805568
EC1-13-11-2,0.945241681,0.104649602,0.206012337
